word,count
image,1020
network,614
model,585
learning,511
data,423
result,341
proposed,310
detection,305
feature,302
deep,296
dataset,290
video,288
propose,283
training,269
performance,265
paper,262
object,254
show,252
neural,223
challenge,214
neural network,203
system,202
different,193
algorithm,188
datasets,180
ha,179
state-of-the-art,177
also,172
work,172
adversarial,157
recognition,157
used,157
vehicle,156
classification,146
representation,141
accuracy,140
framework,138
segmentation,138
experiment,137
architecture,133
however,132
loss,132
3d,129
camera,128
present,128
visual,128
deep learning,127
application,124
semantic,121
demonstrate,116
quality,114
attention,112
use,110
space,109
metric,107
domain,106
scene,105
existing,104
first,103
time,103
technique,101
face,100
estimation,98
large,97
compression,96
input,96
better,94
multiple,94
real,93
convolutional,92
process,92
improve,91
attack,90
prediction,89
rate,88
available,87
challenging,87
knowledge,85
resolution,85
trained,85
map,84
vision,84
's,83
shape,83
track,83
real-world,82
well,81
human,80
recent,80
learn,79
module,78
due,77
tracking,77
benchmark,76
efficient,76
pose,76
compared,75
facial,75
super-resolution,75
point,74
introduce,71
object detection,71
sample,71
study,71
important,70
motion,70
current,69
reconstruction,69
experimental,68
function,68
text,68
deep neural,67
paper propose,67
synthetic,67
example,66
deep neural network,65
field,65
noise,65
achieve,64
address,64
focus,64
many,64
region,64
structure,64
solution,63
achieves,62
convolutional neural,62
effectiveness,62
label,62
research,62
several,62
pixel,61
rgb,61
strategy,61
convolutional neural network,60
distribution,60
residual,60
depth,59
document,58
learned,58
proposed method,58
result show,58
robust,58
supervised,58
across,57
action,57
previous,57
provide,57
various,57
color,56
computer,56
graph,56
three,56
denoising,55
flow,55
local,55
outperforms,55
even,54
experimental result,54
fusion,54
generate,54
improvement,54
number,54
scale,54
signal,54
term,54
unsupervised,54
estimate,53
filter,53
mapping,53
semantic segmentation,53
device,52
effective,52
computer vision,51
generative,51
order,51
constraint,50
design,50
evaluate,50
significantly,50
source,50
user,50
achieved,49
annotation,49
baseline,49
limited,49
make,49
quantization,49
transfer,49
cnn,48
complex,48
computational,48
dehazing,48
dense,48
gradient,48
retrieval,48
sensor,48
train,48
database,47
detect,47
generated,47
generation,47
issue,47
mechanism,47
score,47
small,47
spatial,47
step,47
case,46
dynamic,46
error,46
including,46
pattern,46
test,46
traffic,46
able,45
classifier,45
context,45
environment,45
extensive,44
second,44
end-to-end,43
machine,43
often,43
propose novel,43
recently,43
skin,43
area,42
block,42
capture,42
factor,42
instance,42
labeled,42
processing,42
re-identification,42
robustness,42
simple,42
wa,42
applied,41
distance,41
given,41
highly,41
increase,41
key,41
latent,41
significant,41
temporal,41
additional,40
aim,40
best,40
efficiency,40
moreover,40
need,40
parameter,40
training data,40
way,40
condition,39
matching,39
obtained,39
original,39
provides,39
sequence,39
type,39
adversarial network,38
anomaly,38
code,38
directly,38
therefore,38
trajectory,38
detail,37
develop,37
final,37
haze,37
higher,37
image compression,37
ntire,37
output,37
reduce,37
value,37
2d,36
annotated,36
augmentation,36
component,36
consists,36
detector,36
driving,36
evaluated,36
extract,36
improved,36
individual,36
interest,36
lack,36
mean,36
optimization,36
scenario,36
allows,35
finally,35
imaging,35
lead,35
measure,35
modeling,35
natural,35
obtain,35
remote,35
similar,35
specifically,35
still,35
addition,34
attribute,34
cloud,34
coding,34
cost,34
learning model,34
like,34
may,34
optical,34
perceptual,34
similarity,34
decision,33
designed,33
especially,33
face recognition,33
generative adversarial,33
joint,33
machine learning,33
perform,33
publicly,33
surface,33
us,33
change,32
decoder,32
e.g,32
effect,32
furthermore,32
generative adversarial network,32
image classification,32
imagery,32
leverage,32
place,32
re-id,32
requires,32
size,32
state-of-the-art method,32
synthetic data,32
traditional,32
ai,31
among,31
audio,31
city,31
hierarchical,31
improves,31
paper present,31
popular,31
produce,31
relation,31
search,31
spectral,31
sr,31
stage,31
subject,31
variation,31
activity,30
adaptation,30
autonomous,30
channel,30
cnns,30
common,30
computation,30
could,30
extraction,30
forgetting,30
introduced,30
large-scale,30
mobile,30
multi-camera,30
particular,30
person,30
point cloud,30
proposed approach,30
publicly available,30
real-time,30
speed,30
take,30
thermal,30
thus,30
yet,30
automated,29
continual,29
convolution,29
difficult,29
general,29
ground,29
learning-based,29
light,29
loss function,29
occlusion,29
online,29
pipeline,29
related,29
scheme,29
vehicle re-identification,29
ability,28
adversarial attack,28
although,28
apply,28
artifact,28
average,28
bias,28
called,28
category,28
detecting,28
developed,28
global,28
main,28
practical,28
setting,28
specific,28
supervision,28
activation,27
anomaly detection,27
box,27
complexity,27
conventional,27
degradation,27
diagram,27
ensemble,27
expression,27
fine-grained,27
form,27
hyperspectral,27
image denoising,27
localization,27
location,27
manipulation,27
standard,27
world,27
year,27
background,26
combining,26
continual learning,26
data set,26
direction,26
discriminative,26
find,26
help,26
high-resolution,26
identify,26
identity,26
image super-resolution,26
interaction,26
learning method,26
low-resolution,26
measurement,26
movement,26
pair,26
public,26
truth,26
within,26
amount,25
combination,25
combine,25
content,25
critical,25
deblurring,25
effectively,25
effort,25
generalization,25
geometric,25
ground truth,25
identification,25
importance,25
lr,25
made,25
memory,25
modality,25
multi-scale,25
people,25
possible,25
potential,25
promising,25
quantitative,25
require,25
shown,25
tool,25
yield,25
zero-shot,25
adaptive,24
autoencoder,24
become,24
binary,24
deep learning model,24
demonstrated,24
doe,24
edge,24
enables,24
enhancement,24
extensive experiment,24
fast,24
frequency,24
gap,24
heart,24
known,24
making,24
performed,24
respectively,24
show proposed,24
state,24
studied,24
testing,24
typically,24
agent,23
ai city,23
