word,count
model,5266
image,3590
3d,2106
object,1750
data,1726
propose,1694
feature,1633
performance,1622
learning,1620
video,1464
training,1395
diffusion,1238
representation,1227
scene,1163
generation,1143
datasets,1133
existing,1128
code,1088
dataset,1047
visual,1017
state-of-the-art,993
available,990
framework,987
result,987
experiment,984
however,974
demonstrate,970
introduce,962
segmentation,885
motion,855
paper,841
network,836
benchmark,832
diffusion model,826
human,799
detection,796
extensive,791
challenge,766
semantic,765
work,744
’,739
address,712
domain,712
prompt,709
point,706
proposed,703
across,698
text,678
show,672
different,653
ha,639
pose,617
first,607
module,605
also,602
process,601
various,598
neural,592
input,588
large,575
code available,561
knowledge,558
prediction,546
present,544
reconstruction,544
space,542
quality,536
extensive experiment,531
achieves,524
language,524
camera,509
due,506
multiple,500
vision,496
strategy,494
recent,492
specifically,486
significantly,474
significant,468
attention,465
dynamic,463
scenario,463
previous,459
design,457
issue,450
temporal,450
field,448
effectiveness,437
loss,434
transformer,433
efficient,430
distribution,425
sample,423
challenging,421
latent,421
estimation,417
capability,416
generate,412
map,410
accuracy,408
diverse,408
outperforms,408
real-world,405
action,401
application,401
achieve,395
often,395
within,395
effectively,393
rendering,393
label,390
2d,389
architecture,388
alignment,385
leverage,381
pre-trained,380
generative,378
editing,375
time,374
cloud,373
point cloud,361
technique,359
depth,356
compared,351
generalization,345
consistency,343
learn,342
annotation,339
parameter,339
shape,338
local,336
classification,333
effective,330
study,330
source,329
ability,327
adaptation,326
gaussian,326
synthesis,326
clip,325
including,325
spatial,325
limited,324
optimization,324
trained,324
robust,318
token,318
high-quality,317
modality,316
region,315
current,314
improvement,314
recognition,314
better,307
designed,305
interaction,304
large-scale,304
propose novel,303
concept,297
query,295
use,295
multimodal,294
project,294
structure,294
face,292
synthetic,292
enhance,291
noise,291
generated,290
modeling,290
key,288
computational,287
efficiency,287
complex,284
experimental,283
leveraging,282
content,281
additionally,280
aim,279
global,278
distillation,277
improve,277
potential,277
superior,277
real,276
instance,275
object detection,275
zero-shot,275
attack,274
furthermore,273
moreover,271
system,271
deep,269
cost,268
robustness,268
adversarial,266
mechanism,266
focus,264
setting,263
used,263
mask,262
context,261
three,261
geometry,260
given,260
multi-view,259
condition,258
yet,258
capture,257
gap,257
sampling,257
control,256
algorithm,253
vision-language,251
comprehensive,248
existing method,248
generating,246
language model,246
text-to-image,246
experimental result,245
self-supervised,245
matching,242
function,241
simple,241
downstream,239
enables,238
experiment demonstrate,238
achieving,231
baseline,231
user,231
limitation,230
fine-tuning,226
reasoning,226
scale,226
detail,224
texture,224
employ,223
research,223
style,223
fine-grained,222
graph,221
unsupervised,221
appearance,218
bias,218
”,218
adaptive,216
step,216
paper propose,215
several,214
even,213
perception,213
state-of-the-art performance,213
encoder,212
metric,211
semantic segmentation,211
tackle,211
well,211
component,210
directly,210
driving,210
need,210
pipeline,209
denoising,208
enhancing,208
memory,208
score,208
solution,206
additional,205
implicit,205
pair,205
number,204
sparse,204
specific,202
leading,201
neural network,201
contrastive,200
llm,200
page,200
3d object,199
category,199
despite,199
supervision,199
error,198
guidance,197
geometric,196
textual,195
trajectory,195
resulting,194
“,194
hand,193
learned,193
provide,193
pre-training,192
project page,192
retrieval,192
transfer,192
dense,191
proposed method,191
thus,191
original,190
state-of-the-art method,190
consistent,189
lack,188
environment,187
like,187
localization,187
paradigm,187
sequence,187
term,187
train,187
unseen,186
allows,185
output,185
large language,184
multi-modal,184
detector,183
mesh,183
supervised,183
enabling,182
remains,182
surface,182
pixel,181
correspondence,180
crucial,180
description,179
make,179
fusion,178
improves,178
instruction,178
natural,177
relationship,177
produce,176
large language model,175
address issue,173
nerf,172
introduces,171
radiance,170
traditional,170
achieves state-of-the-art,169
constraint,169
embedding,169
recently,169
standard,168
strong,168
anomaly,167
corresponding,167
evaluate,167
require,167
signal,167
teacher,167
foundation,166
restoration,166
advancement,165
thereby,164
future,163
promising,163
property,163
validate,163
many,162
autonomous,160
introduce novel,160
small,160
splatting,160
stage,159
tracking,159
agent,158
example,158
identify,158
joint,157
size,157
sota,157
demonstrates,156
diversity,155
exhibit,155
inherent,155
lead,155
training data,155
efficiently,154
still,154
vision-language model,154
among,153
generative model,153
rely,153
3d scene,152
embeddings,152
gradient,152
shown,152
offer,151
pose estimation,151
radiance field,151
computer,150
degradation,150
distance,150
realistic,150
gaussian splatting,149
head,149
manner,149
perform,149
perspective,149
called,148
extensive experiment demonstrate,148
superior performance,148
augmentation,147
complexity,147
model ’,146
segment,146
enable,145
fully,145
grounding,145
typically,145
utilizing,145
background,143
second,143
type,143
world,143
achieved,142
develop,142
attribute,141
change,141
few-shot,141
finally,141
result demonstrate,141
compression,140
imaging,140
masked,140
real-time,140
resolution,140
e.g.,139
objective,139
especially,138
estimate,138
fast,138
may,138
noisy,138
lidar,137
named,137
construct,136
enhancement,136
observation,136
scheme,136
shift,136
facial,135
find,135
speed,135
superiority,135
addition,134
improved,134
test,134
color,133
demonstrate effectiveness,133
remarkable,133
way,133
classifier,132
detailed,132
practical,132
struggle,132
enhances,131
highly,131
latent space,131
pattern,131
foundation model,130
open-vocabulary,130
particularly,130
state,130
caption,129
general,129
relation,129
volume,129
3d gaussian,128
end-to-end,128
hierarchical,128
individual,128
learns,128
negative,128
semantics,128
computer vision,127
image generation,127
common,126
mitigate,126
ood,126
reference,126
requires,126
student,126
enhanced,125
online,125
provides,125
area,124
correlation,124
predict,124
similar,124
text prompt,124
flow,123
sensor,123
address challenge,122
gaussians,122
obtain,122
selection,122
vlms,122
conduct,121
continual,121
novel view,121
question,121
advantage,120
autonomous driving,120
either,120
precise,120
success,120
utilizes,120
making,119
simultaneously,119
backbone,118
extract,118
fidelity,118
monocular,118
quantization,118
reducing,118
respectively,118
source code,118
unlabeled,118
best,117
datasets demonstrate,117
preserving,117
progress,117
similarity,117
utilize,117
critical,116
demonstrated,116
experiment show,116
representation learning,116
effect,115
insight,115
variation,115
accurately,114
conditional,114
instead,114
layout,114
mapping,114
novel approach,114
support,114
decoder,113
facilitate,113
high-resolution,113
maintaining,113
method achieves,113
tuning,113
avatar,112
guide,112
reduce,112
competitive,111
explore,111
expression,111
handle,111
i.e.,111
publicly,111
view synthesis,111
rgb,110
search,110
uncertainty,110
discriminative,109
generates,109
overcome,108
semi-supervised,108
super-resolution,108
achieves state-of-the-art performance,107
efficacy,107
labeled,107
public,107
cross-modal,106
explicit,106
lightweight,106
requiring,106
resource,106
rich,106
stable,106
transformation,106
across various,105
regularization,105
box,104
doe,104
egocentric,104
however existing,104
issue propose,104
learnable,104
open,104
rate,104
applied,103
computation,103
notably,103
position,103
substantial,103
advance,102
average,102
four,102
identity,102
medical,102
released,102
adapt,101
cue,101
demonstrate method,101
encoding,101
involves,101
powerful,101
consistently,100
direction,100
distinct,100
ensure,100
integrating,100
pre-trained model,100
tailored,100
wide,100
arbitrary,99
contrast,99
experimental result demonstrate,99
important,99
response,99
sam,99
since,99
conventional,98
incorporating,98
integrates,98
model trained,98
paper present,98
patch,98
previous method,98
quantitative,98
block,97
faster,97
le,97
overall,97
translation,97
u,97
vector,97
edge,96
exploit,96
paper introduce,96
publicly available,96
reduces,96
align,95
capturing,95
contrastive learning,95
demonstrating,94
ground,94
linear,94
outperforms existing,94
take,94
bridge,93
characteristic,93
continuous,93
location,93
optimal,93
pretrained,93
refinement,93
widely,93
3d gaussian splatting,92
addressing,92
benchmark datasets,92
physical,92
suffer,92
unique,92
benefit,91
combination,91
completion,91
guided,91
introducing,91
long,91
made,91
manipulation,91
normal,91
planning,91
reliable,91
unlike,91
consists,90
human motion,90
mllms,90
neural radiance,90
outperforms state-of-the-art,90
positive,90
processing,90
work propose,90
along,89
boundary,89
capable,89
easily,89
explicitly,89
forgetting,89
neural radiance field,89
phase,89
registration,89
us,89
aggregation,88
annotated,88
behavior,88
controllable,88
high-fidelity,88
particular,88
transformer-based,88
3d human,87
adapter,87
artifact,87
bev,87
form,87
found,87
surpasses,87
text-to-image diffusion,87
build,86
finding,86
generator,86
incorporate,86
providing,86
represent,86
variety,86
vision transformer,86
higher,85
impact,85
integration,85
jointly,85
pseudo,85
requirement,85
self-attention,85
viewpoint,85
yield,85
boost,84
comparable,84
distortion,84
frequency,84
importance,84
projection,84
qualitative,84
regression,84
static,84
text-to-image diffusion model,84
although,83
essential,83
incorporates,83
order,83
result show,83
therefore,83
anomaly detection,82
calibration,82
combine,82
contribution,82
difference,82
help,82
initial,82
input image,82
light,82
popular,82
value,82
3d object detection,81
audio-visual,81
building,81
device,81
domain adaptation,81
extraction,81
increase,81
introduced,81
operation,81
perturbation,81
solve,81
subject,81
test-time,81
allowing,80
animation,80
audio,80
beyond,80
computational cost,80
conducted,80
development,80
full,80
learning-based,80
nature,80
novel framework,80
reconstruct,80
blur,79
fail,79
image editing,79
iterative,79
known,79
preserve,79
short,79
associated,78
create,78
employing,78
establish,78
generalizable,78
innovative,78
integrate,78
inversion,78
novel view synthesis,78
discovery,77
effort,77
inspired,77
minimal,77
occupancy,77
termed,77
vehicle,77
ambiguity,76
deployment,76
explanation,76
flexible,76
following,76
great,76
impressive,76
interest,76
margin,76
occlusion,76
relying,76
role,76
tool,76
upon,76
vit,76
case,75
deep learning,75
diffusion-based,75
image restoration,75
increasing,75
inpainting,75
method outperforms,75
present novel,75
reduction,75
scalable,75
solely,75
state-of-the-art result,75
subsequently,75
3dgs,74
able,74
across different,74
action recognition,74
advanced,74
ensuring,74
facilitating,74
factor,74
indoor,74
inverse,74
knowledge distillation,74
learning method,74
outperforming,74
primarily,74
prompting,74
usually,74
weather,74
aspect,73
client,73
comparison,73
continual learning,73
density,73
material,73
overhead,73
paper introduces,73
pruning,73
3d point,72
aligning,72
alleviate,72
challenge propose,72
deformation,72
direct,72
main,72
pseudo-labels,72
random,72
testing,72
varying,72
4d,71
art,71
assessment,71
core,71
element,71
existing approach,71
integrated,71
methodology,71
missing,71
pixel-level,71
real-world scenario,71
relative,71
auxiliary,70
backdoor,70
branch,70
entire,70
expert,70
gain,70
generalized,70
idea,70
model llm,70
show method,70
stereo,70
synthetic data,70
collection,69
convolution,69
empirical,69
facilitates,69
generalize,69
image-text,69
out-of-distribution,69
target domain,69
universal,69
update,69
virtual,69
coordinate,68
difficulty,68
federated,68
handling,68
optimize,68
overfitting,68
predicted,68
refine,68
significantly outperforms,68
simple yet,68
spectral,68
structural,68
capacity,67
captured,67
compositional,67
hard,67
image classification,67
masking,67
matrix,67
offering,67
paired,67
proposes,67
reveal,67
yet effective,67
activation,66
active,66
address issue propose,66
amount,66
base,66
demand,66
expensive,66
language model llm,66
latent diffusion,66
observe,66
scene representation,66
separate,66
year,66
3d shape,65
camera pose,65
commonly,65
defense,65
dynamically,65
gaze,65
incremental,65
measure,65
method often,65
performs,65
reconstructing,65
shared,65
automatically,64
become,64
conditioned,64
conditioning,64
consider,64
differentiable,64
goal,64
keypoint,64
limit,64
natural language,64
open-set,64
paper propose novel,64
raw,64
stream,64
structured,64
unknown,64
3d reconstruction,63
code model,63
considering,63
effectiveness proposed,63
emerged,63
fixed,63
grid,63
mainly,63
novel method,63
nuscenes,63
relevant,63
source code available,63
ssl,63
compact,62
detect,62
mean,62
method code,62
proposal,62
t2i,62
understand,62
applicability,61
decomposition,61
depth estimation,61
generalization ability,61
generated image,61
imagenet,61
investigate,61
low-light,61
person,61
pretraining,61
privacy,61
skeleton,61
topology,61
wide range,61
3d gaussians,60
bounding,60
caused,60
clustering,60
correction,60
could,60
desired,60
exploration,60
fundamental,60
heterogeneous,60
human pose,60
image quality,60
image segmentation,60
intermediate,60
kernel,60
keypoints,60
lighting,60
mutual,60
power,60
previous work,60
significant challenge,60
surpassing,60
apply,59
catastrophic,59
composition,59
contains,59
dimension,59
extracted,59
interpolation,59
larger,59
