word,count
learning,452
image,313
3d,250
object,211
video,201
detection,189
model,185
neural,185
segmentation,169
transformer,139
representation,127
network,120
semantic,119
visual,102
object detection,101
field,100
estimation,97
point,96
diffusion,95
generation,93
scene,89
reconstruction,88
efficient,84
human,83
domain,81
cloud,80
point cloud,80
recognition,80
semantic segmentation,76
pose,71
feature,69
deep,67
self-supervised,67
vision,62
diffusion model,60
contrastive,59
masked,59
radiance,59
synthesis,59
unsupervised,58
radiance field,57
adversarial,56
modeling,56
adaptive,55
motion,53
robust,52
adaptation,51
dataset,51
dynamic,51
knowledge,51
prediction,50
graph,49
implicit,48
shape,48
face,47
action,46
semi-supervised,46
distillation,45
language,45
multi-view,45
3d object,44
temporal,44
few-shot,43
data,41
instance,41
localization,41
vision transformer,41
pose estimation,40
training,40
representation learning,39
framework,38
neural radiance,38
hierarchical,37
neural radiance field,37
matching,36
tracking,36
zero-shot,36
attention,35
generalization,35
generative,34
pre-training,34
super-resolution,34
label,33
rendering,33
transfer,33
3d object detection,31
retrieval,31
attack,30
classification,30
depth,30
vision-language,29
alignment,28
consistency,28
contrastive learning,28
supervised,28
editing,27
flow,27
multimodal,27
neural network,27
sparse,27
fusion,26
generalized,26
guided,26
large-scale,26
stereo,26
continual,25
space,25
camera,24
latent,24
monocular,24
multiple,24
prompt,24
domain adaptation,23
federated,23
grounding,23
hand,23
robustness,23
supervision,23
weakly,23
anomaly,22
controllable,22
dense,22
facial,22
high-fidelity,22
local,22
multi-modal,22
3d human,21
avatar,21
benchmark,21
cross-modal,21
instance segmentation,21
interaction,21
loss,21
pretraining,21
regularization,21
weakly supervised,21
action recognition,20
distribution,20
driving,20
fine-grained,20
gradient,20
optimization,20
perception,20
query,20
real-time,20
surface,20
text,20
augmentation,19
clustering,19
correspondence,19
diverse,19
function,19
joint,19
knowledge distillation,19
restoration,19
token,19
detector,18
domain generalization,18
human pose,18
image super-resolution,18
interpolation,18
light,18
map,18
mesh,18
open-vocabulary,18
quantization,18
rethinking,18
style,18
text-to-image,18
2d,17
completion,17
compression,17
continual learning,17
image segmentation,17
inverse,17
lidar,17
structure,17
uncertainty,17
view synthesis,17
weakly-supervised,17
anomaly detection,16
backdoor,16
discovery,16
effective,16
geometry,16
head,16
online,16
prompting,16
wild,16
3d scene,15
3d shape,15
annotation,15
continuous,15
denoising,15
depth estimation,15
embedding,15
fast,15
federated learning,15
generalizable,15
imaging,15
manipulation,15
natural,15
real,15
reasoning,15
scalable,15
vector,15
3d point,14
architecture,14
autonomous,14
blind,14
decomposition,14
domain adaptive,14
end-to-end,14
enhancement,14
explicit,14
incremental,14
inversion,14
mapping,14
mask,14
navigation,14
noisy,14
person,14
perspective,14
progressive,14
recovery,14
sampling,14
self-supervised learning,14
transformation,14
3d point cloud,13
3d reconstruction,13
appearance,13
attribute,13
autonomous driving,13
boosting,13
captioning,13
category,13
clip,13
conditional,13
consistent,13
distance,13
global,13
image classification,13
image restoration,13
iterative,13
neural representation,13
re-identification,13
revisiting,13
sequence,13
temporal action,13
universal,13
unsupervised domain,13
3d-aware,12
active,12
answering,12
audio-visual,12
better,12
compositional,12
concept,12
context,12
deformable,12
explanation,12
frequency,12
geometric,12
human pose estimation,12
image synthesis,12
implicit neural,12
language model,12
large,12
masked image,12
medical,12
memory,12
out-of-distribution,12
patch,12
question,12
real-world,12
resolution,12
synthetic,12
test-time,12
trajectory,12
translation,12
tuning,12
virtual,12
volumetric,12
3d hand,11
autoencoders,11
discriminative,11
distilling,11
dual,11
encoding,11
frame interpolation,11
gan,11
image generation,11
interactive,11
kernel,11
leveraging,11
long-tailed,11
medical image,11
mobile,11
neural field,11
optimal,11
panoptic,11
probabilistic,11
question answering,11
referring,11
rgb,11
sample,11
scaling,11
scene graph,11
selection,11
semi-supervised learning,11
signed,11
vision-language model,11
visual representation,11
action localization,10
adversarial attack,10
bridging,10
edge,10
egocentric,10
general,10
image modeling,10
learned,10
lightweight,10
masked autoencoders,10
matter,10
metric,10
noise,10
object detector,10
open-set,10
optical,10
person re-identification,10
personalized,10
pixel,10
pre-trained,10
quality,10
registration,10
residual,10
scale,10
structured,10
texture,10
vision-and-language,10
visual recognition,10
activation,9
animation,9
baseline,9
bias,9
calibration,9
class-incremental,9
convolution,9
correction,9
deblurring,9
differentiable,9
generating,9
hybrid,9
indoor,9
layout,9
learning 3d,9
meta,9
multi-view image,9
mutual,9
noisy label,9
object segmentation,9
open,9
pretrained,9
pruning,9
region,9
relation,9
scene understanding,9
search,9
similarity,9
simple,9
source,9
talking,9
temporal action localization,9
text-to-image diffusion,9
time,9
transformer-based,9
transport,9
unsupervised domain adaptation,9
video representation,9
world,9
3d human pose,8
4d,8
articulated,8
assessment,8
benchmarking,8
beyond,8
capture,8
cross-view,8
degradation,8
distance function,8
embeddings,8
enhanced,8
environment,8
example,8
exploiting,8
exploration,8
few-shot learning,8
foundation,8
generative model,8
human mesh,8
human-object,8
image editing,8
image retrieval,8
implicit neural representation,8
implicit surface,8
inpainting,8
inverse rendering,8
learning image,8
low-light,8
masked image modeling,8
medical image segmentation,8
multi-object,8
multi-task,8
object pose,8
parametric,8
partial,8
photorealistic,8
portrait,8
regression,8
saliency,8
shift,8
signed distance,8
spatial,8
spatio-temporal,8
style transfer,8
test-time adaptation,8
uncertainty-aware,8
unknown,8
variational,8
video-language,8
visual question,8
visual question answering,8
volume,8
3d semantic,7
adversarial training,7
aggregation,7
aligning,7
autoencoder,7
background,7
clothed,7
coding,7
collaborative,7
color,7
constraint,7
correlation,7
cross-domain,7
description,7
discrete,7
emotion,7
expansion,7
expert,7
expression,7
face generation,7
face recognition,7
filter,7
fine-tuning,7
forecasting,7
gap,7
generator,7
high-quality,7
high-resolution,7
human reconstruction,7
human-object interaction,7
image captioning,7
image-text,7
improved,7
learnable,7
learner,7
learning neural,7
masking,7
meet,7
model learning,7
motion prediction,7
multi-label,7
nerf,7
object pose estimation,7
optical flow,7
optimal transport,7
photo,7
physical,7
pose shape,7
process,7
pyramid,7
quality assessment,7
realistic,7
refinement,7
relighting,7
sequential,7
shadow,7
shape reconstruction,7
sign,7
sign language,7
single-view,7
spatial-temporal,7
text-to-image diffusion model,7
trajectory prediction,7
transferable,7
unifying,7
video anomaly,7
video frame,7
video frame interpolation,7
video object,7
vision language,7
vision-and-language navigation,7
vision-language pre-training,7
360deg,6
3d scene understanding,6
accelerating,6
arbitrary,6
arbitrary-scale,6
asymmetric,6
backbone,6
bidirectional,6
binary,6
bottleneck,6
boundary,6
classifier,6
clothed human,6
content,6
contrast,6
coordinate,6
corruption,6
data-free,6
datasets,6
detailed,6
detection transformer,6
disentangled,6
disentanglement,6
document,6
editable,6
effect,6
event-based,6
explainable,6
fidelity,6
filtering,6
forgery,6
foundation model,6
gait,6
gait recognition,6
gans,6
gaussian,6
graph generation,6
hdr,6
heterogeneous,6
human motion,6
image compression,6
image denoising,6
incomplete,6
input,6
intrinsic,6
landmark,6
language-guided,6
language-image,6
large-scale dataset,6
