word,count
image,109
learning,85
network,85
deep,45
video,45
detection,38
neural,38
estimation,34
neural network,30
vehicle,28
recognition,27
challenge,25
segmentation,25
3d,23
super-resolution,23
object,22
compression,21
dataset,21
model,21
classification,20
mobile,20
feature,19
data,18
domain,17
pose,17
convolutional,16
quality,16
camera,15
depth,15
representation,15
retrieval,15
tracking,15
action,14
human,14
system,14
transfer,14
unsupervised,14
visual,14
ai,13
assessment,13
attention,13
deep learning,13
image compression,13
real-time,13
robust,13
efficient,12
fast,12
ntire,12
prediction,12
scene,12
object detection,11
semantic,11
sign,11
training,11
adversarial,10
face,10
flow,10
fusion,10
graph,10
guided,10
language,10
perceptual,10
pose estimation,10
reconstruction,10
aerial,9
anomaly,9
continual,9
contrastive,9
deep neural,9
distillation,9
generation,9
generative,9
image quality,9
image super-resolution,9
loss,9
quantization,9
semantic segmentation,9
study,9
adaptation,8
application,8
architecture,8
continual learning,8
convolutional network,8
domain adaptation,8
dynamic,8
framework,8
knowledge,8
label,8
motion,8
multi-camera,8
multi-scale,8
ntire challenge,8
quality assessment,8
restoration,8
transformer,8
vision,8
action recognition,7
adaptive,7
autonomous,7
challenge report,7
classifier,7
depth estimation,7
detecting,7
enhancement,7
imagery,7
knowledge distillation,7
performance,7
re-identification,7
report,7
search,7
sign language,7
space,7
ai challenge,6
alignment,6
anomaly detection,6
baseline,6
beyond,6
binary,6
cloud,6
convolutional neural,6
dehazing,6
device,6
end-to-end,6
explainable,6
fashion,6
incremental,6
learned,6
matching,6
mobile ai,6
multi-modal,6
multiple,6
natural,6
network image,6
person,6
point,6
point cloud,6
replay,6
resolution,6
satellite,6
synthetic,6
text,6
traffic,6
vehicle retrieval,6
